n,splay_hot,treap_hot
500,0.009757599997101352,0.004072100011399016
1000,0.010186300001805648,0.0022638000082224607
2000,0.01315820001764223,0.004615499987266958
4000,0.013804999995045364,0.003328999999212101
8000,0.016480999998748302,0.0037761999992653728
16000,0.015620399994077161,0.003913100023055449
