n,build,nn_query,range_query
500,0.0021869000047445297,0.00950020001619123,0.002798600005917251
1000,0.002950599999167025,0.013169599988032132,0.003346400015288964
2000,0.0075465000118128955,0.012477799988118932,0.005307699990225956
4000,0.013797599996905774,0.012000100017758086,0.008339400024851784
8000,0.03753060000599362,0.023432700021658093,0.021021900000050664
16000,0.10203720000572503,0.017042499996023253,0.031021200004033744
