n,splay_insert,treap_insert,splay_search,treap_search
500,0.005806100001791492,0.0019764000026043504,0.0035617999965325,0.0005661000031977892
1000,0.009769199998117983,0.007618900010129437,0.005406999989645556,0.0005830000154674053
2000,0.029209100001025945,0.011742100003175437,0.0033830000029411167,0.0007209000177681446
4000,0.04580130000249483,0.032117399998242036,0.005221600004006177,0.0010646000155247748
8000,0.08380900000338443,0.05334509999374859,0.004222999996272847,0.0008799000061117113
16000,0.19152809999650344,0.12096639999072067,0.004906899994239211,0.0011922999983653426
