n,splay_sorted_insert,treap_sorted_insert
500,0.0018327999860048294,0.00479599999380298
1000,0.0009142000053543597,0.002366400003666058
2000,0.0026114000065717846,0.0059658999962266535
4000,0.009020800003781915,0.018565200007287785
8000,0.11494329999550246,0.02880100000766106
16000,0.02853700000559911,0.08412080002017319
