n,trie_insert,patricia_insert,trie_search,patricia_search,trie_mem_nodes,patricia_mem_nodes
500,0.005993400001898408,0.0021653000148944557,0.0002592999953776598,0.0010340000153519213,3368,648
1000,0.005835399992065504,0.006567500007804483,0.0002799999783746898,0.001196700002765283,6520,1342
2000,0.014710999996168539,0.008370499999728054,0.000665100000333041,0.0008034000056795776,12546,2680
4000,0.02587330000824295,0.015790500008733943,0.0005834999901708215,0.0006973000126890838,24269,5081
8000,0.08467410001321696,0.03140659999917261,0.0004582000256050378,0.0010220000112894922,47135,10030
16000,0.16996100000687875,0.09721790000912733,0.000651800015475601,0.0009825000015553087,90904,20951
